address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Main Street, Gisr El Swis",Apartments,2,2,100 ,4,2020,Semi Finished,Main Street,"200,000"
"Manshyat Elsad Elaly, Gisr El Swis",Apartments,3,1,140 ,7,2008,Super lux,Main Street,"350,000"
"Qibaa City, Gisr El Swis",Apartments,2,1,90 ,9,2020,Super lux,Main Street,"230,000"
عمارات خلف العبور صلاح سالم,Apartments,2,1,120 ,6,1990,Super lux,,"1,000,000"
"El-Nasr Rd St., Sheraton",Apartments,3,2,169 ,4,2020,Semi Finished,Main Street,"2,192,849"
"Main Street, Gisr El Swis",Apartments,3,2,165 ,3,2020,Super lux,Main Street,"1,200,000"
١٣ عمارات رامو امام سيتى ستارز,Apartments,3,2,230 ,7,1996,Super lux,Main Street,"2,400,000"
"El Thawra, Heliopolis - Masr El Gedida",Restaurant,,,245 ,Super lux,,,,"130,000"
"New Nozha, New Nozha",Apartments,2,1,135 ,10,2021,Super lux,Main Street,"900,000"
عمارات العبور صلاح سالم - مصر الجديدة - القاهرة,Apartments,2,2,140 ,28,Super lux,Main Street,,"1,100,000"
عمارات خلف العبور صلاح سالم,Apartments,2,1,120 ,9,1990,Super lux,,"1,200,000"
"New Nozha, New Nozha",Apartments,2,1,135 ,5,2021,Super lux,Main Street,"800,000"
"Obour Buildings, Heliopolis - Masr El Gedida",Apartments,2,2,145 ,13,1991,Super lux,Garden,"1,170,000"
"Street 18, Sheraton",Apartments,3,1,150 ,2,2021,Super lux,Side Street,"1,750,000"
عمارات خلف العبور صلاح سالم,Apartments,4,2,200 ,11,1990,Super lux,,"2,300,000"
"New Nozha, New Nozha",Apartments,2,1,110 ,5,Without Finish,Side Street,,"170,000"
"El Nozha Street, Heliopolis - Masr El Gedida",Apartments,2,2,130 ,6,2023,Semi Finished,Main Street,"2,000,000"
كوبري التجنيد، جسر السويس,Apartments,3,2,145 ,8,2019,Without Finish,Main Street,"620,000"
"El-Montaza St., Heliopolis Square",Apartments,3,2,200 ,5,Super lux,Side Street,,"1,800,000"
"New Nozha, New Nozha",Apartments,3,2,160 ,4,2021,Lux,Side Street,"400,000"
"El Thawra, Heliopolis - Masr El Gedida",Apartments,4,3,420 ,7,1987,Super lux,Main Street,"4,500,000"
"Main Street, Gisr El Swis",Apartments,2,1,80 ,8,2020,Super lux,Main Street,"180,000"
"Roxy Square, Heliopolis - Masr El Gedida",Apartments,5,4,360 ,4,Semi Finished,Main Street,,"5,500,000"
دار الحرس الجمهورى,Apartments,3,1,160 ,15,1987,Lux,,"1,550,000"
"New Nozha, New Nozha",Apartments,3,2,140 ,6,2020,Super lux,Main Street,"490,000"
"El Nozha Street, Heliopolis - Masr El Gedida",Apartments,6,3,225 ,8,2017,Semi Finished,Main Street,"2,800,000"
شارع المدينه، النزهة الجديدة,Penthouse,4,4,390 ,6,1996,Semi Finished,Main Street,"1,750,000"
"Main Street, Gisr El Swis",Apartments,3,2,155 ,6,2020,Super lux,Main Street,"700,000"
"New Nozha, New Nozha",Stores,,,100 ,Extra super lux,Side Street,,,"5,000,000"
"El Khalifa EL Mahmoun, Heliopolis - Masr El Gedida",Stores,,,235 ,Semi Finished,Main Street,,,"10,000,000"
"Street 17, Sheraton",Apartments,3,2,160 ,1,2021,Super lux,Main Street,"1,800,000"
"Ibn Sender Sq., Mnsheet El Bakry",Apartments,3,1,145 ,6,1989,Lux,Side Street,"850,000"
"Main Street, Gisr El Swis",Apartments,3,1,175 ,6,2020,Super lux,Main Street,"750,000"
"New Nozha, New Nozha",Apartments,3,1,140 ,10,2020,Super lux,Main Street,"430,000"
"Main Street, Gisr El Swis",Stores,,,85 ,Super lux,Main Street,,,"1,100,000"
