address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Al Moshir Tantawy Axis, Nasr City",Apartments,2,1,95 ,1,2021,Semi Finished,Main Street,"550,000"
"Al Moshir Tantawy Axis, Nasr City",Apartments,2,1,95 ,1,2021,Semi Finished,Side Street,"550,000"
"Al Moshir Tantawy Axis, Nasr City",Apartments,3,1,150 ,7,2021,Semi Finished,Main Street,"800,000"
"Al Moshir Tantawy Axis, Nasr City",Apartments,3,2,118 ,6,2021,Semi Finished,Main Street,"680,000"
"Al Moshir Tantawy Axis, Nasr City",Apartments,2,2,125 ,7,2021,Semi Finished,Side Street,"750,000"
"Nagy Nasr St., 10th Zone",Apartments,3,2,185 ,8,2019,Semi Finished,Main Street,"1,250,000"
"Nagy Nasr St., 10th Zone",Apartments,3,2,180 ,7,2019,Without Finish,Corner,"1,250,000"
"Gamal Al Din Dwidar St., 8th Zone",Apartments,3,3,225 ,4,2002,Super lux,Side Street,"1,900,000"
كمبوند كايرو تاون,Apartments,3,3,162 ,3,2022,Semi Finished,Main Street,"1,169,640"
"Nagy Nasr St., 10th Zone",Apartments,3,2,170 ,4,2020,Without Finish,Corner,"1,230,000"
"Al Moshir Tantawy Axis, Nasr City",Apartments,3,2,125 ,1,2021,Semi Finished,Main Street,"690,000"
Nasr City,Apartments,3,2,170 ,4,2025,Extra super lux,Main Street,"1,309,000"
"Abd El-Aziz Eissa St., 9th Zone",Apartments,4,3,220 ,2,2021,Without Finish,Main Street,"1,850,000"
"Nagy Nasr St., 10th Zone",Apartments,3,2,205 ,10,2019,Semi Finished,Main Street,"1,350,000"
"Abd El-Aziz Eissa St., 9th Zone",Apartments,3,3,175 ,2,2021,Without Finish,Main Street,"1,650,000"
Nasr City,Clinics,2,1,190 ,Ground,2021,Extra super lux,Main Street,"6,270,000"
Nasr City,Apartments,3,2,175 ,5,2025,Extra super lux,Main Street,"1,480,000"
Nasr City,Apartments,3,2,170 ,3,2025,Extra super lux,Main Street,"1,309,000"
Nasr City,Apartments,3,2,175 ,3,2025,Extra super lux,Main Street,"1,480,000"
Nasr City,Apartments,3,2,170 ,4,2025,Extra super lux,Main Street,"1,309,000"
Nasr City,Clinics,2,1,124 ,Ground,2021,Extra super lux,Main Street,"4,092,000"
Nasr City,Apartments,3,2,170 ,3,2025,Extra super lux,Main Street,"1,309,000"
Nasr City,Apartments,3,2,175 ,4,2025,Extra super lux,Main Street,"1,480,000"
Nasr City,Clinics,2,1,357 ,Ground,2021,Extra super lux,Main Street,"11,781,000"
"Gamal Al Din Dwidar St., 8th Zone",Apartments,3,3,220 ,1,1992,Lux,Corner,"1,750,000"
"Abou Dawoud El Zaheri, Nasr City",Offices,3,1,50 ,3,2021,Super lux,Main Street,"1,100,000"
Nasr City,Apartments,3,2,170 ,2,2025,Extra super lux,Main Street,"1,428,000"
Nasr City,Apartments,3,2,170 ,6,2025,Extra super lux,Main Street,"1,309,000"
Nasr City,Apartments,3,2,170 ,2,2025,Extra super lux,Main Street,"1,309,000"
New Cairo,Apartments,3,1,183 ,2,2020,Semi Finished,Main Street,"3,868,000"
Nasr City,Apartments,3,2,175 ,2,2025,Extra super lux,Main Street,"1,479,000"
Mokattam,Offices,1,2,50 ,2,2019,Semi Finished,Corner,"3,282,000"
Nasr City,Apartments,3,2,175 ,2,2025,Extra super lux,Main Street,"1,566,250"
Nasr City,Apartments,3,2,175 ,5,2025,Extra super lux,Main Street,"1,480,000"
Nasr City,Apartments,3,2,175 ,6,2025,Extra super lux,Main Street,"1,480,000"
New Cairo,Apartments,3,1,184 ,2,2021,Semi Finished,Main Street,"3,535,000"
Al Shorouk City,Apartments,3,3,189 ,4,2020,Without Finish,Garden,"2,100,000"
"El-Sawaf St., 9th Zone",Apartments,3,2,185 ,1,2002,Without Finish,,"1,100,000"
"Ahmed El Zomor, Tenth District",Apartments,3,2,160 ,9,2012,Super lux,Side Street,"1,250,000"
Nasr City,Clinics,2,1,53 ,Ground,2021,Extra super lux,Main Street,"1,749,000"
"Soliman Mostafa St., 9th Zone",Apartments,3,2,200 ,4,2014,Super lux,Side Street,"1,500,000"
٣٠٤٢أ زهراء مدينه نصر,Apartments,2,1,86 ,3,2006,Lux,Corner,"530,000"
"Waha Road, Tenth District",Apartments,3,2,140 ,9,Super lux,Main Street,,"950,000"
"Zakareya Othman St., 8th Zone",Apartments,3,2,175 ,8,2017,Super lux,Side Street,"1,250,000"
كمبوند بمدينة نصر/دجلة لاندمارك,Apartments,2,1,79 ,9,2021,Without Finish,Garden,"590,000"
Nasr City,Apartments,3,2,175 ,6,2025,Extra super lux,Main Street,"1,480,000"
New Cairo,Apartments,4,2,216 ,2,2021,Semi Finished,Main Street,"4,525,000"
"Al Taqa - Mohammed Mostafa El Sayed St., El Ahly Club",Apartments,3,1,146 ,5,1995,Super lux,Main Street,"1,500,000"
"Nagy Nasr St., 10th Zone",Apartments,4,2,205 ,6,2019,Without Finish,Main Street,"2,450,000"
شارع حلمي عبد العاطي من شارع حسن مأمون م الثامنة مدينة نصر,Apartments,3,3,230 ,2,1997,Super lux,Side Street,"1,550,000"
"Abd El-Aziz Eissa St., 9th Zone",Apartments,3,2,190 ,3,2020,Without Finish,Garden,"1,550,000"
"Dr Mahmoud Fathi St., 10th Zone",Apartments,3,2,215 ,7,2009,Super lux,Other,"1,630,000"
"Hammouda Mahmoud St., 8th Zone",Apartments,3,2,130 ,5,2003,Super lux,Side Street,"1,200,000"
"Abou Dawoud El Zaheri, Nasr City",Commercial,,, 137 ,Without Finish,Main Street,,,"6,576,000"
"Abou Dawoud El Zaheri, Nasr City",Stores,,,162 ,Without Finish,Main Street,,,"6,804,000"
"Other Neighborhoods In Zahraa Nasr City, Zahraa Nasr City",Apartments,3,1,110 ,5,2018,Super lux,Side Street,"350,000"
"Al Moshir Tantawy Axis, Nasr City",Apartments,3,2,118 ,5,2021,Semi Finished,Main Street,"619,500"
