address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Ali Ibn Abi Taleb St., Rod El Farag",House / Home,,,116  ,1960,Super lux,Side Street,,"2,400,000"
"Al Masara St., Gzert Bdran",Apartments,3,2,190 ,11,2008,Semi Finished,Main Street,"1,350,000"
كنيسه مسره,Apartments,4,3,240 ,12,2010,Extra super lux,Main Street,"1,600,000"
"Haret Rod Al Farag, Gzert Bdran",Apartments,2,1,100 ,5,1997,Lux,Side Street,"750,000"
Greater Cairo / Shoubra / Gzert Bdran / Haret Al Mebiad,Apartments,3,2,200 ,1,2017,Semi Finished,Side Street,"2,000,000"
"Al Khatafeen St., Gzert Bdran",Apartments,3,1,95 ,3,1999,Lux,Side Street,"380,000"
