address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Area L, Hadayek El Ahram",Apartment with Garden,5,3,327 ,1,2009,Semi Finished,Corner,"1,135,000"
حدائق الاهرام,Apartments,3,2,175 ,1,2013,Super lux,Main Street,"800,000"
"Area A, Hadayek El Ahram",Apartments,3,2,197 ,3,2021,Super lux,,"850,000"
"Area N, Hadayek El Ahram",Apartments,3,2,165 ,4,2021,Super lux,,"750,000"
"Area N, Hadayek El Ahram",Apartments,3,2,200 ,2,2005,super_lux,Side Street,"900,000"
"Area T, Hadayek El Ahram",Apartments,3,2,200 ,2,2021,Super lux,,"1,000,000"
"Area A, Hadayek El Ahram",Apartments,3,2,145 ,1,2019,Super lux,Back,"690,000"
"Area W, Hadayek El Ahram",Apartments,3,1,170 ,3,2021,Super lux,,"730,000"
"Area L, Hadayek El Ahram",Apartments,3,2,195 ,4,2021,Super lux,,"870,000"
"Area B, Hadayek El Ahram",Apartment with Garden,3,2,240 ,1,Super lux,,,"1,850,000"
"Area W, Hadayek El Ahram",Penthouse,3,2,230 ,5,2003,Lux,Main Street,"695,000"
"El-Gaish St., Hadayek El Ahram",Apartment with Garden,3,2,240 ,1,2021,Semi Finished,Main Street,"840,000"
"El-Gaish St., Hadayek El Ahram",Apartments,4,3,340 ,3,2014,Super lux,Main Street,"1,850,000"
"Bis No.8 St., Hadayek El Ahram",Apartments,9,1,100 ,7,2021,Super lux,,"350,000"
"Area K, Hadayek El Ahram",Apartments,3,2,145 ,Ground,2021,Super lux,,"550,000"
"Bis No.8 St., Hadayek El Ahram",Apartments,3,2,185 ,3,2021,Super lux,,"740,000"
"Horus Street, Hadayek El Ahram",Apartments,3,2,175 ,1,2021,Super lux,Side Street,"800,000"
"Area A, Hadayek El Ahram",Apartments,3,2,190 ,5,2021,Super lux,,"1,100,000"
"Area L, Hadayek El Ahram",Apartment with Garden,3,3,150 ,2,2021,Semi Finished,Corner,"600,000"
"Bis No.8 St., Hadayek El Ahram",Apartments,3,2,150 ,5,2021,Super lux,,"475,000"
"Area B, Hadayek El Ahram",Apartment with Garden,3,1,170 ,Ground,2021,Super lux,,"650,000"
"Area T, Hadayek El Ahram",Administrative,1,1,50 ,Ground,2010,Extra super lux,Main Street,"350,000"
"Area A, Hadayek El Ahram",Apartments,3,2,220 ,2,2021,Super lux,,"900,000"
"Bis No.8 St., Hadayek El Ahram",Apartments,2,2,200 ,6,2021,Super lux,,"850,000"
"Area A, Hadayek El Ahram",Apartment with Garden,3,2,145 ,1,2019,Extra super lux,Garden,"690,000"
"Area B, Hadayek El Ahram",Apartments,3,2,115 ,1,2018,Super lux,Back,"550,000"
"Area B, Hadayek El Ahram",Apartments,3,2,170 ,4,2019,Semi Finished,Side Street,"640,000"
"Area A, Hadayek El Ahram",Duplex,3,3,280 ,Ground,2021,Super lux,,"1,200,000"
"E Area, Hadayek El Ahram",Apartments,3,2,175 ,4,2021,Super lux,,"1,150,000"
"Bis No.8 St., Hadayek El Ahram",Apartments,3,2,165 ,1,2021,Super lux,,"1,050,000"
"El-Gaish St., Hadayek El Ahram",Apartments,3,3,190 ,5,Super lux,Other,,"1,100,000"
"Area L, Hadayek El Ahram",Apartment with Garden,3,3,172 ,Ground,2021,Semi Finished,Corner,"688,000"
"Area S, Hadayek El Ahram",Apartments,3,2,190 ,2,2021,Super lux,,"1,000,000"
"Bis No.8 St., Hadayek El Ahram",Duplex,3,3,300 ,Ground,2021,Super lux,,"1,800,000"
"Bis No.8 St., Hadayek El Ahram",Apartments,3,2,172 ,4,2021,Semi Finished,,"680,000"
"Area K, Hadayek El Ahram",Apartments,3,2,185 ,1,2021,Super lux,,"740,000"
"El-Gaish St., Hadayek El Ahram",Apartments,3,2,175 ,4,2021,Super lux,,"810,000"
"Bis No.8 St., Hadayek El Ahram ",Apartments,3,2,150 ,2,2021,Super lux,,"850,000"
"Branched from T No.12, Hadayek El Ahram",Apartments,3,2,134 ,4,2020,Super lux,Back,"590,000"
"Area T, Hadayek El Ahram",Apartments,3,3,215 ,2,2021,Super lux,,"1,250,000"
"El-Gaish St., Hadayek El Ahram",Building,,,1127 ,2021,Super lux,,,"9,500,000"
"Bis No.8 St., Hadayek El Ahram",Duplex,4,3,350 ,Ground,2021,Super lux,,"1,800,000"
"Bis No.8 St., Hadayek El Ahram",Apartments,3,1,125 ,3,2021,Super lux,,"580,000"
"Area Z, Hadayek El Ahram",Apartments,3,2,185 ,3,2021,Super lux,,"830,000"
للجادين فقط بدون وسطاء نهائيا. فرصه بسعر مميز محل بشارع جاردنيا الرئيسي حدائق الاهرام,Stores,,,86 ,Super lux,Main Street,,,"400,000"
"Bis No.8 St., Hadayek El Ahram",Apartments,3,2,170 ,Ground,2021,Super lux,,"850,000"
"Area L, Hadayek El Ahram",Apartment with Garden,3,3,156 ,Ground,2021,Semi Finished,Main Street,"624,000"
"Bis No.8 St., Hadayek El Ahram",Villas,3,2,245 ,2021,Super lux,,,"3,000,000"
"Al Mantaka S, Hadayek El Ahram",Apartments,3,1,125 ,5,2021,Super lux,,"460,000"
"El-Gaish St., Hadayek El Ahram",Grave,,,40 ,Side Street,,,,"175,000"
"Area T, Hadayek El Ahram",Apartments,1,1,50 ,Ground,2009,Super lux,Main Street,"350,000"
"Bis No.8 St., Hadayek El Ahram",Duplex,6,3,355 ,1,2010,Super lux,Side Street,"1,700,000"
"Area L, Hadayek El Ahram",Apartment with Garden,3,3,210 ,Ground,Super lux,Side Street,,"1,100,000"
"Area B, Hadayek El Ahram",Apartments,3,3,234 ,4,2008,Super lux,Main Street,"1,250,000"
"Street 4, Hadayek El Ahram",Building,,,500 ,Semi Finished,Garden,,,"12,000,000"
"Area L, Hadayek El Ahram",Apartment with Garden,3,3,153 ,Ground,2021,Semi Finished,Main Street,"612,000"
"Area L, Hadayek El Ahram",Apartment with Garden,3,3,140 ,Ground,2021,Semi Finished,Main Street,"560,000"
"Bis No.8 St., Hadayek El Ahram",Apartments,3,1,145 ,1,2021,Semi Finished,,"460,000"
"Bis No.8 St., Hadayek El Ahram",Apartments,2,2,140 ,3,2021,Super lux,,"1,100,000"
"El-Gaish St., Hadayek El Ahram",Apartments,3,2,150 ,2,2014,Super lux,Main Street,"820,000"
"Area N, Hadayek El Ahram",Apartments,3,2,140 ,5,2021,Super lux,,"550,000"
"El-Khazan St, Hadayek El Ahram",Duplex,3,3,340 ,Ground,2019,Super lux,Main Street,"2,300,000"
"Area S, Hadayek El Ahram",Apartment with Garden,3,2,140 ,Ground,Super lux,Corner,,"840,000"
"Bis No.8 St., Hadayek El Ahram",Apartments,3,2,180 ,3,2021,Super lux,,"900,000"
"Area L, Hadayek El Ahram",Apartment with Garden,3,3,130 ,Ground,2021,Semi Finished,Side Street,"520,000"
"Area L, Hadayek El Ahram",Apartment with Garden,3,3,145 ,Ground,2021,Semi Finished,Main Street,"580,000"
"E Area, Hadayek El Ahram",Apartments,3,2,155 ,4,2021,Super lux,,"620,000"
"Qasr El-Tamasel St., Hadayek El Ahram",Duplex,5,3,380 ,4,2006,Super lux,Corner,"1,600,000"
"Bis No.8 St., Hadayek El Ahram",Apartments,3,2,195 ,2,2021,Super lux,,"825,000"
"Bis No.8 St., Hadayek El Ahram",Grave,,,40 ,,,,,"150,000"
"Street 34, Hadayek El Ahram",Apartments,3,1,135 ,2,Super lux,Side Street,,"570,000"
"Area A, Hadayek El Ahram",Apartments,2,1,100 ,Ground,2021,Super lux,,"400,000"
"Area A, Hadayek El Ahram",Apartments,3,2,145 ,3,2021,Super lux,,"700,000"
"Area M, Hadayek El Ahram",Apartments,2,2,129 ,3,2004,Super lux,Side Street,"590,000"
"Bis No.8 St., Hadayek El Ahram",Cafe,,,270 ,Super lux,,,,"1,050,000"
"Area L, Hadayek El Ahram",Apartments,3,2,210 ,2,2010,Super lux,Main Street,"850,000"
"Ahmos Gate, Hadayek El Ahram",Apartments,3,2, 131 ,2,2018,Semi Finished,,"500,000"
"Bis No.8 St., Hadayek El Ahram",Stores,,,120 ,Super lux,,,,"1,800,000"
"Area D, Hadayek El Ahram",Apartments,2,2,160 ,3,Super lux,Corner,,"700,000"
"Bis No.8 St., Hadayek El Ahram",Apartments,3,2,108 ,1,2021,Super lux,,"500,000"
"Area N, Hadayek El Ahram",Duplex,3,1,330 ,3,2021,Super lux,,"1,400,000"
"Bis No.8 St., Hadayek El Ahram",Villas,4,4,305 ,2021,Super lux,,,"2,200,000"
"Area D, Hadayek El Ahram",Apartments,3,2,155 ,2,2029,Super lux,Main Street,"750,000"
"E Area, Hadayek El Ahram",Apartment with Garden,3,3,170 ,Ground,2016,Super lux,Corner,"1,100,000"
"Bis No.8 St., Hadayek El Ahram",Villas,4,4,424 ,2021,Super lux,Side Street,,"2,300,000"
