address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Cornich El Mokatam, Mokattam",Corporate Branch,6,3,300 ,Ground,2010,Super lux,Corner,"2,000,000"
"Sixth Neighborhood, Mokattam",Roof,3,2,270 ,4,2006,Semi Finished,Garden,"1,300,000"
"Street 9, Mokattam",Apartments,3,2,200 ,3,1990,Super lux,Main Street,"1,700,000"
"Street 9, Mokattam",Apartments,5,3,250 ,3,2003,Semi Finished,Main Street,"1,700,000"
"Street 9, Mokattam",Apartments,3,2,210 ,1,Super lux,Main Street,,"1,600,000"
شارع 9 بالمقطم - عمارة رقم 8923 -خلف حسنى الكبابجى بعد أولاد رجب,Duplex,6,4,480 ,2,Super lux,Main Street,,"3,100,000"
Mokattam,Apartments,3,2,228 ,Ground,2022,Extra super lux,Main Street,"8,100,000"
"G Zone, Al Hadaba Al Olya",Apartments,4,3,240 ,2,Super lux,Main Street,,"1,500,000"
"El Asmarat Neighborhood, Mokattam",Apartments,2,2,102 ,4,2019,Without Finish,Main Street,"765,000"
"Street 9, Mokattam",Apartments,3,2,210 ,3,2010,Super lux,Back,"1,450,000"
"Street 9, Mokattam",Building,,,500 ,1996,Semi Finished,Main Street,,"25,000,000"
"Street 9, Mokattam",Pharmacy,,,60 ,Super lux,Main Street,,,"1,500,000"
"Street 9, Mokattam",Apartments,3,2,195 ,4,2017,Extra super lux,Side Street,"1,770,000"
"G Zone, Al Hadaba Al Olya",Apartments,3,2,210 ,2,Super lux,Main Street,,"1,500,000"
"Sixth Neighborhood, Mokattam",Apartments,5,3,270 ,2,2015,Super lux,Main Street,"1,450,000"
"El Mokattam Street, Mokattam",Apartments,3,2,140 ,1,Super lux,Main Street,,"1,100,000"
"El Asmarat Neighborhood, Mokattam",Duplex,4,3,288 ,1,2019,Without Finish,Main Street,"1,912,500"
up town,Twin House,5,2,279 ,2020,Semi Finished,Garden,,"8,600,000"
up twon cairo,Villas,4,4,279 ,2020,Super lux,,,"10,250,000"
"El Asmarat Neighborhood, Mokattam",Duplex,4,3,288 ,1,2019,Super lux,Main Street,"1,912,500"
"Street 9, Mokattam",Apartments,3,2,210 ,3,2011,Lux,Main Street,"1,500,000"
"Street 9, Mokattam",Apartments,3,3,2000 ,2,Super lux,Main Street,,"1,700,000"
كمبوند جولدن جيتس,Penthouse,2,1,138 ,6,2019,Super lux,Main Street,"1,035,000"
up town cairo,Twin House,5,5,279 ,2018,Semi Finished,Garden,,"8,600,000"
up town cairo,Twin House,5,5,279 ,2019,Super lux,Garden,,"8,600,000"
"El Asmarat Neighborhood, Mokattam",Penthouse,3,2,138 ,6,2019,Super lux,Main Street,"1,035,000"
"El Asmarat Neighborhood, Mokattam",Penthouse,3,2,138 ,6,2019,Super lux,Main Street,"1,035,000"
شارع ٢٨ قطعة ٧٣٩٩,Apartments,3,2, 180 ,3,2008,Super lux,Back,"1,450,000"
"El Asmarat Neighborhood, Mokattam",Penthouse,3,2,138 ,6,2019,Super lux,Main Street,"1,035,000"
"Street 9, Mokattam",Land,,,1090 ,Main Street,,,,"26,000,000"
لعقار مطل على الشارع الرئيسي مباشرةً العقار رقم 162 ش 9 المنطقة س الهضبة العليا دائرة قسم شرطة المقطم القاهرة قطعة أرض رقم: 7998 أمام معرض سيارات هيونداي,Building,,,500 ,1997,Super lux,Main Street,,"25,000,000"
"Fifth Neighbourhood, Mokattam",Apartments,3,2,140 ,2,2015,Semi Finished,Corner,"650,000"
"El Asmarat Neighborhood, Mokattam",Villas,5,3,385 ,2019,Semi Finished,Main Street,,"7,500,000"
"Street 9, Mokattam",Apartments,3,2,150 ,4,1998,Super lux,Corner,"1,000,000"
"Compounds In Mokattam, Compounds In Mokattam",Penthouse,2,1,130 ,3,2016,Semi Finished,Main Street,"650,000"
المقطم,Separate Villa,4,4,304 ,2022,Super lux,Garden,,"19,600,000"
"Golden Gates Compound, Compounds In Mokattam",Apartments,2,2,102 ,3,2019,Without Finish,Main Street,"765,000"
up town cairo,Twin House,4,4,279 ,2017,Extra super lux,Garden,,"8,712,500"
"Branched from No40, Diplomats",Duplex,8,6,500 ,2,2010,Super lux,Garden,"5,000,000"
"El Asmarat Neighborhood, Mokattam",Duplex,4,3,288 ,1,2019,Without Finish,Main Street,"1,912,500"
"Mokattam, Mokattam",Apartments,3,2,200 ,3,Super lux,Main Street,,"1,700,000"
"Seventy acres, Mokattam",Apartments,3,1,73 ,5,Without Finish,Main Street,,"225,000"
المقطم,Separate Villa,4,4,304 ,2022,Super lux,Garden,,"18,300,000"
المقطم جنوب س,Apartment with Garden,3,3,135 ,Ground,Super lux,Side Street,,"1,250,000"
"Street 9, Mokattam",Duplex,3,3,265 ,1,Super lux,Main Street,,"1,290,000"
المقطم,Separate Villa,4,4,304 ,2022,Super lux,Garden,,"18,300,000"
المقطم,Apartments,2,2,140 ,3,2023,Super lux,Garden,"5,530,000"
"Street 17, Al Hadaba Al Olya",Apartments,3,3,185 ,4,2005,Semi Finished,Side Street,"950,000"
"Hay El Zohour, Al Hadaba Al Olya",Apartments,3,3,190 ,1,Super lux,Main Street,,"1,350,000"
"Street 17, Al Hadaba Al Olya",Apartments,3,2,223 ,2,Super lux,Main Street,,"1,800,000"
"Mokattam, Mokattam",Apartments,3,3,200 ,2,Extra super lux,Main Street,,"1,500,000"
"El Asmarat Neighborhood, Mokattam",Studio,1,1,54 ,3,2019,Semi Finished,Side Street,"405,000"
"Street 17, Al Hadaba Al Olya",Apartments,4,3,200 ,4,Super lux,Main Street,,"1,700,000"
"Golden Gates Compound, Compounds In Mokattam",Studio,1,1,54 ,4,2019,Semi Finished,Main Street,"405,000"
up town cairo,Separate Villa,5,5,478 ,2019,Semi Finished,Golf,,"33,500,000"
"Mokattam, Mokattam",Apartment with Garden,3,2,172 ,Ground,2018,Semi Finished,Side Street,"700,000"
كمبوند جولدن جيتس,Apartments,3,2,118 ,3,2019,Super lux,Main Street,"885,000"
up town cairo,Separate Villa,5,5,472 ,2018,Semi Finished,Golf,,"15,500,000"
"Seventy acres, Mokattam",Apartments,3,1,75 ,6,Super lux,Main Street,,"350,000"
up town cairo,Twin House,5,5,279 ,2019,Super lux,Garden,,"8,600,000"
"El Asmarat Neighborhood, Mokattam",Duplex,4,3,288 ,1,2019,Without Finish,Main Street,"1,912,500"
"Mokattam, Mokattam",Land,,,715 ,,,,,"3,500,000"
Mokattam,Twin House,5,4,310 ,2020,Extra super lux,Main Street,,"17,800,000"
"Golden Gates Compound, Compounds In Mokattam",Apartments,2,2,102 ,4,2019,Without Finish,Main Street,"765,000"
"Mokattam, Mokattam",Apartments,1,1,54  ,5,Lux,Main Street,,"200,000"
"El Asmarat Neighborhood, Mokattam",Duplex,6,3,288 ,1,2019,Extra super lux,Main Street,"2,160,000"
"Mokattam, Mokattam",Apartments,3,3,245 ,1,Super lux,Main Street,,"1,850,000"
كمبوند جولدن جيتس,Duplex,5,2,288 ,3,2019,Semi Finished,Main Street,"2,160,000"
كمبوند جولدن جيتس,Penthouse,3,2,138 ,6,2019,Super lux,Main Street,"1,035,000"
"El Asmarat Neighborhood, Mokattam",Penthouse,3,2,138 ,5,2019,Super lux,Main Street,"1,035,000"
"El Asmarat Neighborhood, Mokattam",Apartments,2,2,102 ,2,2019,Without Finish,Main Street,"765,000"
"El Asmarat Neighborhood, Mokattam",Penthouse,3,2,138 ,3,2019,Semi Finished,Main Street,"1,035,000"
"El Asmarat Neighborhood, Mokattam",Apartments,2,2,102 ,4,2019,Without Finish,Main Street,"765,000"
"Mokattam, Mokattam",Duplex,5,2,288 ,1,2019,Super lux,Main Street,"2,160,000"
up town cairo,Twin House,5,5,279 ,2019,Semi Finished,Garden,,"8,600,000"
"El Asmarat Neighborhood, Mokattam",Penthouse,5,2,138 ,1,2019,Super lux,,"1,035,000"
"Ard Al Mabahes, Mokattam",Apartments,3,2,170 ,8,2030,Semi Finished,Main Street,"952,000"
up town,Twin House,5,5,279 ,2020,Super lux,Garden,,"8,600,000"
"Street 9, Mokattam",Apartments,3,2,150 ,1,1996,Super lux,Side Street,"1,250,000"
"Golden Gates Compound, Compounds In Mokattam",Duplex,4,3,288 ,1,2019,Without Finish,,"1,912,500"
up town cairo,Separate Villa,5,5,472 ,2019,Semi Finished,Golf,,"15,500,000"
"The Martyr Corridor, Tenth District",Apartments,3,3,172 ,3,2020,Without Finish,,"1,290,000"
up town cairo,Twin House,5,5,279 ,2018,Super lux,Garden,,"8,600,000"
"G Zone, Al Hadaba Al Olya",Apartments,3,2,185 ,1,Super lux,Main Street,,"1,250,000"
"El Mokattam Street, Mokattam",Stores,,,70 ,Super lux,,,,"3,750,000"
"El Nafora Sq, Mokattam",Apartments,6,4,450 ,2,2014,Extra super lux,Main Street,"4,050,000"
"Golden Gates Compound, Compounds In Mokattam",Penthouse,4,3,300 ,5,2021,Extra super lux,Garden,"1,800,000"
"Street 9, Mokattam",Roof,3,3,245 ,6,2021,Semi Finished,Main Street,"1,750,000"
"Mokattam, Mokattam",Apartments,4,3,250 ,4,2009,Extra super lux,Garden,"1,800,000"
"Ard Al Mabahes, Mokattam",Apartments,3,2,170 ,5,2021,Semi Finished,Side Street,"850,000"
"Mokattam, Mokattam",Apartments,3,2,150 ,3,2015,Super lux,,"900,000"
up town cairo,Twin House,5,5,279 ,2018,Super lux,Garden,,"8,300,000"
"Ard Al Mabahes, Mokattam",Apartments,2,2,125 ,5,2021,Semi Finished,Side Street,"625,000"
"El Asmarat Neighborhood, Mokattam",Apartments,3,2,118 ,2,2020,Without Finish,Main Street,"885,000"
"Ard Al Mabahes, Mokattam",Apartments,2,1,112 ,1,2021,Semi Finished,Main Street,"694,400"
up town cairo ,Separate Villa,5,5,472 ,2018,Semi Finished,Golf,,"14,100,000"
"El Asmarat Neighborhood, Mokattam",Apartments,3,2,138 ,1,2019,Without Finish,Main Street,"1,035,000"
"Ard Al Mabahes, Mokattam",Apartments,3,2,165 ,8,2021,Semi Finished,Main Street,"924,000"
"9 Side Compound - El Mansour Development, Compounds In Mokattam",Apartments,2,1,93 ,1,2020,Semi Finished,Golf,"806,940"
"Ard Al Mabahes, Mokattam",Apartments,3,2,175 ,10,2016,Lux,Main Street,"900,000"
"Ard Al Mabahes, Mokattam",Apartments,3,2,180 ,8,2021,Semi Finished,Main Street,"1,008,000"
Uptown Cairo,Twin House,5,5,279 ,2018,Super lux,Garden,,"8,500,000"
"9 Side Compound - El Mansour Development, Compounds In Mokattam",Apartments,3,2,133 ,2,2020,Semi Finished,Golf,"1,127,950"
"9 Side Compound - El Mansour Development, Compounds In Mokattam",Apartments,3,2,122 ,4,2020,Semi Finished,Golf,"1,052,640"
المقطم,Apartments,3,3,210 ,2,2017,Super lux,Main Street,"6,000,000"
"G Zone, Al Hadaba Al Olya",Apartments,3,2,165 ,1,Semi Finished,,,"1,200,000"
"Street 9, Mokattam",Roof,3,3,245 ,6,2021,Semi Finished,Main Street,"1,750,000"
up town cairo,Town House,3,3,287 ,2018,Semi Finished,Garden,,"8,500,000"
"Street 9, Mokattam",Offices,7,3,300 ,1,2012,Super lux,Main Street,"1,700,000"
"Uptown Cairo Compound - Emaar, Compounds In Mokattam",Separate Villa,5,5,667 ,2021,Extra super lux,Golf,,"30,000,000"
Uptown Cairo,Separate Villa,5,5,472 ,2021,Super lux,Golf,,"15,500,000"
up town cairo,Town House,4,4,297 ,2019,Semi Finished,Garden,,"7,151,613"
"9 Side Compound - El Mansour Development, Compounds In Mokattam",Apartments,3,2,123 ,2,2020,Semi Finished,Golf,"1,052,640"
up town cairo,Twin House,4,4,279 ,2017,Super lux,Garden,,"8,300,000"
"Uptown Cairo Compound - Emaar, Compounds In Mokattam",Twin House,4,4,321 ,2021,Super lux,Garden,,"9,500,000"
"9 Side Compound - El Mansour Development, Compounds In Mokattam",Apartments,2,1,94 ,2,2030,Semi Finished,Golf,"814,830"
"9 Side Compound - El Mansour Development, Compounds In Mokattam",Apartments,2,1,111 ,2,2020,Semi Finished,Golf,"946,050"
"Street 9, Mokattam",Apartments,3,2,200 ,4,2012,Super lux,Side Street,"1,350,000"
"Street 9, Mokattam",Apartments,3,2,124 ,5,2020,Semi Finished,Main Street,"1,024,000"
Mokattam,Apartments,3,1,125 ,1,2019,Semi Finished,Corner,"3,384,360"
Uptown Cairo,Twin House,4,4,279 ,2018,Super lux,Garden,,"8,300,000"
"Uptown Cairo Compound - Emaar, Compounds In Mokattam",Twin House,4,4,321 ,2021,Super lux,Other,,"10,000,000"
Mokattam,Duplex,2,1,136 ,1,2019,Semi Finished,Corner,"2,694,933"
"Uptown Cairo Compound - Emaar, Compounds In Mokattam",Separate Villa,5,5,511 ,2021,Extra super lux,Golf,,"21,900,000"
Uptown Cairo,Separate Villa,5,5,305 ,2022,Extra super lux,Garden,,"12,754,444"
"Mokattam, Mokattam",Duplex,3,3,320 ,2,2020,Semi Finished,Garden,"2,000,000"
Uptown Cairo,Twin House,4,4,279 ,2018,Super lux,Garden,,"8,300,000"
"Golden Gates Compound, Compounds In Mokattam",Apartments,3,3,212 ,1,Semi Finished,Other,,"1,750,000"
up town cairo,Separate Villa,5,5,472 ,2020,Without Finish,Garden,,"14,400,000"
"Uptown Cairo Compound - Emaar, Compounds In Mokattam",Apartments,2,2,128 ,3,2020,Extra super lux,Golf,"3,700,000"
"Uptown Cairo Compound - Emaar, Compounds In Mokattam",Apartments,2,2,128 ,3,2020,Super lux,Golf,"3,700,000"
"Mokattam, Mokattam",Apartments,3,3,153 ,4,2021,Semi Finished,Garden,"994,500"
