address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Castle Landmark Compound - Castle Landmark, R7",Apartments,3,2,150 ,1,2021,Semi Finished,Garden,"1,402,940"
"First Neighborhood, Bait El Watan",Apartments,3,1,140 ,1,2023,Semi Finished,Main Street,"840,000"
"Bait El Watan, El Sheikh Zayed City",Apartments,3,2,244 ,3,2021,Semi Finished,Main Street,"2,000,800"
"1st District, El Hadabah El Wosta",Apartments,3,2,170 ,3,Semi Finished,Side Street,,"1,020,000"
"New Narges, New Cairo - Fifth Settlement - Tagamoa",Apartment with Garden,3,2,133 ,Ground,Semi Finished,Main Street,,"1,109,100"
"Atika Compound - New Plan, R7",Apartments,3,3,180 ,5,2024,Super lux,Main Street,"2,610,000"
"1st District, El Hadabah El Wosta",Apartments,2,2,135 ,2,2019,Semi Finished,,"783,000"
"North Rehab, Rehab",Apartment with Garden,3,2,143 ,Ground,Semi Finished,Main Street,,"1,246,000"
"Fifth Neighborhood, Bait El Watan",Apartment with Garden,4,2,380 ,2,2023,Super lux,Garden,"1,990,000"
"Sixth Neighborhood, Bait El Watan",Apartments,4,3,230 ,1,2021,Semi Finished,,"1,610,000"
"1st District, El Hadabah El Wosta",Apartments,3,2,155 ,3,2019,Semi Finished,Corner,"930,000"
"Sixth Neighborhood, Bait El Watan",Apartments,4,3,220 ,2,2021,Semi Finished,Main Street,"1,430,000"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Penthouse,2,2,125 ,3,2021,Semi Finished,Garden,"1,772,450"
New Administrative Capital,Apartments,4,4,343 ,6,2024,Semi Finished,Side Street,"3,820,000"
"Mountain View Hyde Park, Compounds in New Cairo",Duplex,4,3,278 ,Ground,2019,Semi Finished,Pool,"3,640,000"
New Heliopolis,Apartments,3,3,211 ,1,2020,Semi Finished,Garden,"3,637,000"
"First Neighborhood, Bait El Watan",Apartment with Garden,4,2,210 ,Ground,2023,Semi Finished,Main Street,"1,260,000"
