address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Abrag El Yasmeen, Zahraa El Maadi",Apartments,3,2,170 ,2,Super lux,Side Street,,"1,100,000"
"Zahraa El Maadi St, Zahraa El Maadi",Apartments,3,3,220 ,9,2030,Super lux,Garden,"1,650,000"
"Zahraa El Maadi St, Zahraa El Maadi",Duplex,6,4,380 ,Ground,2030,Super lux,Main Street,"2,500,000"
"Eighth Neighborhood, Zahraa El Maadi",Apartments,3,2,190 ,1,2019,Semi Finished,Garden,"2,000,000"
"Jodran, Zahraa El Maadi",Apartments,3,2,123 ,3,2021,Semi Finished,Main Street,"1,174,200"
"Zahraa El Maadi St, Zahraa El Maadi",Apartments,4,3,182 ,8,2030,Super lux,Main Street,"1,550,000"
الشطر الثالث عشر - زهراء المعادي,Apartments,3,2,260 ,6,2020,Semi Finished,Main Street,"2,000,000"
"El Merag El Sofli, Zahraa El Maadi",Apartments,3,2,153 ,Ground,2021,Super lux,Side Street,"1,620,000"
"Zahraa El Maadi St, Zahraa El Maadi",Apartments,2,1,138 ,2,2030,Super lux,Main Street,"1,500,000"
"El Merag El Elwy, Zahraa El Maadi",Apartment with Garden,3,3,180 ,1,2020,Semi Finished,Side Street,"990,000"
"First Neighborhood, Zahraa El Maadi",Apartments,3,2,147 ,8,2008,Super lux,Main Street,"1,400,000"
"Zahraa El Maadi St, Zahraa El Maadi",Apartments,2,2,120 ,Ground,2030,Lux,Main Street,"1,132,400"
"Thirteenth Neighborhood, Zahraa El Maadi",Stores,,,210 ,Super lux,Main Street,,,"4,500,000"
"El Merag El Elwy, Zahraa El Maadi",Apartments,3,3,195 ,1,2020,Semi Finished,Main Street,"1,072,500"
"Zahraa El Maadi St, Zahraa El Maadi",Apartments,3,2,145 ,11,2021,Semi Finished,Main Street,"900,000"
زهراء المعادى,Apartments,2,2,130 ,Ground,2030,Super lux,Main Street,"1,000,000"
"Zahraa El Maadi St, Zahraa El Maadi",Furnished Apartment,2,1,125 ,Ground,2030,Extra super lux,Main Street,"950,000"
13th sector - Zahraa El Maadi,Duplex,4,3,280 ,8,2015,Super lux,Main Street,"2,700,000"
"Zahraa El Maadi St, Zahraa El Maadi",Apartments,2,1,115 ,6,2019,Semi Finished,Main Street,"860,000"
"Tenth Neighborhood, Zahraa El Maadi",Apartments,3,2,160 ,5,2017,Super lux,Main Street,"1,420,000"
"First Neighborhood, Zahraa El Maadi",Apartments,2,2,117 ,4,2024,Semi Finished,Main Street,"1,053,000"
"Eighth Neighborhood, Zahraa El Maadi",Duplex,8,3,400 ,1,2018,Semi Finished,Side Street,"5,200,000"
"Zahraa El Maadi St, Zahraa El Maadi",Apartments,2,1,127 ,Ground,2030,Super lux,Main Street,"800,000"
"Zahraa El Maadi St, Zahraa El Maadi",Apartments,3,2,170 ,4,2030,Extra super lux,Main Street,"1,650,000"
ابراج سما دائرى المعادى,Apartments,3,2,214 ,6,2020,Super lux,Main Street,"2,800,000"
"El Merag El Elwy, Zahraa El Maadi",Apartments,3,2,185 ,4,2013,Semi Finished,Main Street,"1,100,000"
"El Merag El Elwy, Zahraa El Maadi",Apartments,3,2,185 ,4,2013,Semi Finished,Main Street,"1,100,000"
Maadi,Apartments,2,1,85 ,6,2021,Extra super lux,Pool,"598,500"
Maadi,Apartments,2,1,85 ,9,2021,Extra super lux,Back,"598,500"
Maadi,Apartments,2,1,85 ,7,2021,Extra super lux,Back,"598,500"
Maadi,Apartments,3,2,147 ,4,2020,Extra super lux,Main Street,"1,249,500"
Maadi,Apartments,2,1,85 ,3,2021,Extra super lux,Pool,"598,500"
"First Neighborhood, Zahraa El Maadi",Apartments,4,3,168 ,4,2024,Semi Finished,Main Street,"1,428,000"
"Seventh Neighborhood, Zahraa El Maadi",Apartments,3,2,190 ,3,2030,Super lux,Side Street,"1,500,000"
Maadi,Apartments,2,1,85 ,2,2021,Extra super lux,Pool,"598,500"
"Eighth Neighborhood, Zahraa El Maadi",Apartment with Garden,3,2,187 ,Ground,2009,Super lux,Main Street,"2,500,000"
"Zahraa El Maadi St, Zahraa El Maadi",Apartments,3,2,171 ,3,2006,Super lux,Main Street,"1,550,000"
"Jodran, Compounds in Maadi",Apartments,2,2,91 ,Ground,2021,Semi Finished,Garden,"869,250"
"Jodran, Zahraa El Maadi",Apartments,3,2,132 ,3,2023,Semi Finished,Main Street,"1,000,000"
"Zahraa El Maadi St, Zahraa El Maadi",Administrative,3,3,110 ,2,2017,Super lux,Main Street,"2,000,000"
"El Merag El Elwy, Zahraa El Maadi",Apartments,3,2,175 ,2,2020,Semi Finished,Side Street,"1,050,000"
"Sixth Neighborhood, Zahraa El Maadi",Apartments,3,2,150 ,Ground,2010,Extra super lux,Garden,"1,300,000"
"First Neighborhood, Zahraa El Maadi",Studio,2,1,78 ,5,2023,Semi Finished,Main Street,"702,000"
"Zahraa El Maadi St, Zahraa El Maadi",Apartments,2,2,123 ,3,2030,Super lux,Garden,"1,000,000"
"Tenth Neighborhood, Zahraa El Maadi",Apartments,3,3,155 ,4,2021,Semi Finished,Side Street,"1,162,500"
"Sixth Neighborhood, Zahraa El Maadi",Penthouse,3,2,160 ,11,2007,Semi Finished,Garden,"1,500,000"
زهراء المعادى,Apartments,3,2,170 ,Ground,2030,Super lux,Main Street,"1,400,000"
"Tenth Neighborhood, Zahraa El Maadi",Apartments,3,2,155 ,2,2021,Semi Finished,Main Street,"1,162,500"
"Mecca St., Zahraa El Maadi",Apartments,4,2,250 ,3,2009,Super lux,Main Street,"2,000,000"
"Tenth Neighborhood, Zahraa El Maadi",Apartments,3,2,155 ,4,2021,Semi Finished,Side Street,"1,162,500"
Maadi,Apartments,2,1,85 ,8,2021,Extra super lux,Back,"598,500"
"Mecca St., Zahraa El Maadi",Apartments,3,2,190 ,3,2016,Semi Finished,Main Street,"1,650,000"
"El Merag El Elwy / Carrefour, Zahraa El Maadi",Apartments,4,3,240 ,Ground,2010,Semi Finished,,"1,200,000"
"Tenth Neighborhood, Zahraa El Maadi",Apartments,3,2,155 ,3,2021,Semi Finished,Side Street,"1,162,500"
"Zahraa El Maadi St, Zahraa El Maadi",Apartments ,3,3,161 ,6,2020,Super lux,Main Street,"1,590,000"
"Zahraa El Maadi St, Zahraa El Maadi",Apartments,3,3,161 ,3,2030,Super lux,Main Street,"1,350,000"
"Jodran, Zahraa El Maadi",Apartments,3,2,109 ,2,2021,Semi Finished,Main Street,"1,000,000"
"First Neighborhood, Zahraa El Maadi",Apartments,2,1,92 ,4,2021,Semi Finished,Main Street,"782,000"
"El Merag El Elwy, Zahraa El Maadi",Apartments,3,2,215 ,2,2019,Semi Finished,Side Street,"1,290,000"
"Eighth Neighborhood, Zahraa El Maadi",Apartments,3,2,170 ,1,2021,Semi Finished,Main Street,"1,275,000"
زهراء المعادى,Apartments,2,2,170 ,11,2030,Super lux,Main Street,"1,350,000"
"Second Neighborhood, Zahraa El Maadi",Apartments,2,1,95 ,6,2024,Semi Finished,Main Street,"950,000"
"El Merag El Elwy, Zahraa El Maadi",Apartments,3,2,175 ,3,2020,Semi Finished,Garden,"1,050,000"
"Tenth Neighborhood, Zahraa El Maadi",Apartments,3,2,125 ,3,2021,Semi Finished,Side Street,"937,500"
